gnn_type,zero_day_type,k,num_train_graphs,num_test_graphs,pos_weight,test_binary_f1,test_macro_f1,zero_day_accuracy,train_loss,seconds
GCN,riskware,0,1400,900,1.000000,0.000000,0.400000,0.000000,0.000028,25.2
GCN,riskware,25,1425,900,56.000000,0.718938,0.739490,0.993333,0.841725,25.9
GCN,riskware,50,1450,900,28.000000,0.759591,0.787457,0.990000,0.704086,26.5
GCN,riskware,100,1500,900,14.000000,0.760925,0.789465,0.986667,0.673060,27.6
GCN,riskware,175,1575,900,8.000000,0.766839,0.795871,0.986667,0.645957,29.6
GCN,riskware,250,1650,900,5.600000,0.786577,0.817933,0.976667,0.586639,31.3
GCN,riskware,350,1750,900,4.000000,0.778808,0.809500,0.980000,0.526909,33.7
GCN,riskware,500,1900,900,2.800000,0.882261,0.908886,0.936667,0.438554,37.4
GCN,riskware,700,2100,900,2.000000,0.859016,0.893374,0.873333,0.401507,42.1
GIN,riskware,0,1400,900,1.000000,0.000000,0.400000,0.000000,0.000001,24.1
GIN,riskware,25,1425,900,56.000000,0.923077,0.941130,0.960000,0.398175,24.6
GIN,riskware,50,1450,900,28.000000,0.930000,0.947500,0.930000,0.401538,25.1
GIN,riskware,100,1500,900,14.000000,0.940397,0.955149,0.946667,0.386318,26.1
GIN,riskware,175,1575,900,8.000000,0.932897,0.949207,0.950000,0.313056,28.0
GIN,riskware,250,1650,900,5.600000,0.915200,0.935047,0.953333,0.264015,29.7
GIN,riskware,350,1750,900,4.000000,0.814305,0.844245,0.986667,0.310879,31.8
GIN,riskware,500,1900,900,2.800000,0.952066,0.963899,0.960000,0.246344,35.4
GIN,riskware,700,2100,900,2.000000,0.953947,0.965229,0.966667,0.240886,39.8
GAT,riskware,0,1400,900,1.000000,0.000000,0.400000,0.000000,0.000010,180.7
GAT,riskware,25,1425,900,56.000000,0.854512,0.895832,0.773333,0.591537,185.9
GAT,riskware,50,1450,900,28.000000,0.788991,0.848679,0.716667,0.679877,190.7
GAT,riskware,100,1500,900,14.000000,0.539171,0.696379,0.390000,0.425758,200.0
GAT,riskware,175,1575,900,8.000000,0.173653,0.492693,0.096667,0.415149,215.7
GAT,riskware,250,1650,900,5.600000,0.930000,0.947500,0.930000,0.355717,229.5
GAT,riskware,350,1750,900,4.000000,0.911661,0.935571,0.860000,0.410056,249.2
GAT,riskware,500,1900,900,2.800000,0.170213,0.492312,0.093333,0.325561,279.5
GAT,riskware,700,2100,900,2.000000,0.070740,0.438325,0.036667,0.266978,318.8
GT,riskware,0,1400,900,1.000000,0.000000,0.400000,0.000000,0.000010,197.7
GT,riskware,25,1425,900,56.000000,0.969900,0.977462,0.966667,0.239214,207.6
GT,riskware,50,1450,900,28.000000,0.795181,0.824941,0.990000,0.375240,213.0
GT,riskware,100,1500,900,14.000000,0.839716,0.868260,0.986667,0.150511,226.1
GT,riskware,175,1575,900,8.000000,0.971429,0.978660,0.963333,0.233296,245.7
GT,riskware,250,1650,900,5.600000,0.959217,0.969078,0.980000,0.177645,260.3
GT,riskware,350,1750,900,4.000000,0.973064,0.979898,0.963333,0.213552,280.3
GT,riskware,500,1900,900,2.800000,0.960656,0.970244,0.976667,0.172883,319.6
GT,riskware,700,2100,900,2.000000,0.967105,0.975163,0.980000,0.140516,362.2
